"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","uID","FullSampleName","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","FHB.DON.content...ppm.CO_321.0001154","FHB.grain.incidence.....CO_321.0001155","FHB.incidence.....CO_321.0001149","FHB.severity.....CO_321.0001440","FHB.disease.index.....CO_321.0501030"
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",85024,"NE22320","NE22320","NE22320","NE22320","plot",85338,"SRPN_2025_FHB-PLOT1",1,1,1,NA,NA,"test",NA,14.8,24.8868778280543,70,70,49
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",84795,"KS22U7321.B2.B7","KS22U7321.B2.B7","KS22U7321.B2.B7","KS22U7321.B2.B7","plot",85409,"SRPN_2025_FHB-PLOT10",1,1,10,NA,NA,"test",NA,1.8,19.2307692307692,60,80,48
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",84805,"KS21U7269.C1.B8","KS21U7269.C1.B8","KS21U7269.C1.B8","KS21U7269.C1.B8","plot",85325,"SRPN_2025_FHB-PLOT11",1,1,11,NA,NA,"test",NA,6,22.0125786163522,80,80,64
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",84990,"TX21M5445","TX21M5445","TX21M5445","TX21M5445","plot",85384,"SRPN_2025_FHB-PLOT12",1,1,12,NA,NA,"test",NA,8.2,26.4705882352941,80,80,64
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",85156,"TX21M5443","TX21M5443","TX21M5443","TX21M5443","plot",85327,"SRPN_2025_FHB-PLOT13",1,1,13,NA,NA,"test",NA,14.7,29.7619047619048,70,80,56
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",84849,"TX21M5173","TX21M5173","TX21M5173","TX21M5173","plot",85386,"SRPN_2025_FHB-PLOT14",1,1,14,NA,NA,"test",NA,7.6,16.7785234899329,80,80,64
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",85113,"TX21M5141","TX21M5141","TX21M5141","TX21M5141","plot",85403,"SRPN_2025_FHB-PLOT15",1,1,15,NA,NA,"test",NA,7.1,22.0994475138122,70,80,56
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",84829,"TX17A1247.BI8","TX17A1247.BI8","TX17A1247.BI8","TX17A1247- BI8","plot",85407,"SRPN_2025_FHB-PLOT16",1,1,16,NA,NA,"test",NA,0.8,16.6666666666667,80,90,72
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",85061,"TX17A1247.BI6","TX17A1247.BI6","TX17A1247.BI6","TX17A1247- BI6","plot",85333,"SRPN_2025_FHB-PLOT17",1,1,17,NA,NA,"test",NA,3.4,19.6629213483146,80,90,72
2025,327,"Southern Regional Performance Nursery (SRPN)","USDA-ARS regional nursery for hard winter wheat. Consists of approximately 40 entries annually. ",329,"SRPN_2025_FHB","FHB data for the 2025 SRPN","RCBD",NA,NA,NA,NA,NA,NA,NA,259,"College Station, TX",84910,"TX21A001421","TX21A001421","TX21A001421","TX21A001421","plot",85370,"SRPN_2025_FHB-PLOT18",1,1,18,NA,NA,"test",NA,2.9,25.4237288135593,70,80,56
