"dist_bp","dist_kb","r2"
38610,38.61,0.0256047457201873
397858,397.858,0.000968127372662013
236837,236.837,0.369507154700724
1313071,1313.071,0.016245308050885
1280330,1280.33,0.0354977996305569
319620,319.62,0.0815279052004422
147919,147.919,0.384324459642097
38439,38.439,0.159697448064448
222141,222.141,0.0294888911541084
11,0.011,0.622642594642507
53471,53.471,0.473683359100598
22,0.022,0.354656410744444
671002,671.002,0.00701446196383994
45,0.045,0.895613151547384
234,0.234,0.0105944532727154
194999,194.999,0.0124839172244634
35020,35.02,0.00070124086910181
45760,45.76,0.907418345654394
32,0.032,0.0076633293480586
21966,21.966,0.00558489255478576
7,0.007,1
150462,150.462,0.280223131259868
1194426,1194.426,0.226976766502492
47,0.047,0.0121439403106236
39761,39.761,0.000496242457326067
484776,484.776,0.00225027478263973
479229,479.229,0.0349462108429741
54905,54.905,0.148219914564862
2971,2.971,0.142607895070796
378424,378.424,0.0754672348110978
536642,536.642,0.0450760093316629
100050,100.05,0.0269797145916479
418648,418.648,0.00198003015464102
9,0.009,1
10,0.01,1
1961,1.961,0.00540200822789306
550969,550.969,0.0300213764854354
3,0.003,1
8,0.008,0.822389243918678
10,0.01,0.0883428451733604
16,0.016,0.0169196599609206
28,0.028,0.882511211406755
329344,329.344,0.189845689068567
222671,222.671,0.149432304229601
8,0.008,1
183488,183.488,0.059760211131671
7,0.007,0.257481615774371
14,0.014,0.0181135107645832
14,0.014,1
1237,1.237,0.143175952414798
98808,98.808,0.109642924409896
3,0.003,1
18,0.018,1
29,0.029,1
49188,49.188,0.0059204437054736
92098,92.098,0.646855057115221
55,0.055,0.0189521845846499
9294,9.294,0.618160714691083
182136,182.136,0.0315600228052575
11,0.011,0.387003992556747
6,0.006,0.411363567932936
219808,219.808,0.465058574150141
29,0.029,0.0551811702997286
22,0.022,0.227661462741156
8,0.008,0.0107755042124893
28,0.028,0.161855529973665
105287,105.287,0.140748448103654
109,0.109,0.0591664934920453
27775,27.775,0.0899482215463539
467734,467.734,0.067499065974735
48,0.048,0.0845716570715983
686,0.686,0.0289565671828165
3,0.003,0.066639493883637
15,0.015,1
26,0.026,0.842757030488259
10,0.01,0.0658281181696804
23,0.023,1
5,0.005,0.0658281181696804
8,0.008,0.0658281181696804
1,0.001,0.0658281181696804
5,0.005,0.0658281181696804
503244,503.244,0.502909722740496
49,0.049,0.0148014437130754
4,0.004,0.999999999999999
231,0.231,0.871945412447965
63,0.063,0.915011466435291
210476,210.476,0.8752295594718
143386,143.386,0.0118873417683456
15,0.015,0.994341579800348
80144,80.144,0.16047756650922
37731,37.731,0.026412060529439
47,0.047,1
181287,181.287,0.512932315045443
17,0.017,1
55764,55.764,0.0371750957096281
4,0.004,0.0339037173165697
481087,481.087,0.0324914185904977
26,0.026,0.0406808774740844
1,0.001,1
1,0.001,0.0229392056465474
41583,41.583,0.0228240529067547
4,0.004,1
974676,974.676,0.00394731960368187
172956,172.956,0.114968101583036
15,0.015,0.606864150469743
114213,114.213,0.0503924418731015
10661,10.661,0.88508228067939
362124,362.124,0.00762146069569353
38304,38.304,0.0138066647819569
51090,51.09,0.291921074072042
2,0.002,1
21,0.021,0.323290098884922
4,0.004,0.323290098884922
1,0.001,0.386624886533517
31,0.031,0.0827632423774193
16,0.016,0.0027815486428629
283828,283.828,0.00153275181021525
4,0.004,1
26,0.026,1
33452,33.452,0.0147874066636171
11,0.011,0.0180979765400468
4,0.004,1
839101,839.101,0.00683620560174197
20362,20.362,0.00116474818494533
109,0.109,0.0356236558331467
129382,129.382,0.603204919371592
331166,331.166,0.0417275826999906
381371,381.371,0.846458906517332
715756,715.756,0.856124469580072
191,0.191,0.883638261148447
19057,19.057,0.461560724293898
915640,915.64,0.00947058782109558
598218,598.218,0.00567073692660115
1599772,1599.772,0.00102691683602811
14,0.014,0.866665655779566
425639,425.639,0.00141119730387391
1,0.001,0.999999999999998
236253,236.253,0.204832772246808
186240,186.24,0.75091300140271
651332,651.332,0.00287389688389637
115036,115.036,0.00957128350279743
36747,36.747,0.0235682940500305
11,0.011,0.923364033485042
6610,6.61,0.892464278241065
5,0.005,0.52054253063393
19,0.019,0.52054253063393
686185,686.185,0.820333414235819
775,0.775,0.899206860738637
234,0.234,0.933997002977489
6,0.006,1
1254,1.254,0.871565058873841
597,0.597,0.86634700752477
132322,132.322,0.837594552347087
33,0.033,1
22757,22.757,0.90079184023162
1170,1.17,0.0108275561734894
11,0.011,1
47898,47.898,0.00294117808756479
6,0.006,1
3,0.003,1
3,0.003,1
376,0.376,0.00162147588308933
21766,21.766,0.882954154071053
30282,30.282,0.598929744179281
8480,8.48,0.513359875175741
266460,266.46,0.0294459719564704
286505,286.505,0.354765656933986
3005,3.005,0.797146941517518
8425,8.425,0.73565157069454
29,0.029,0.882921554474531
2805,2.805,0.81540019168977
35,0.035,0.937319878826875
405343,405.343,0.0715363665412948
404379,404.379,0.587647858529394
491408,491.408,0.402733199496757
8,0.008,1
50817,50.817,0.904625606239644
7,0.007,1
891237,891.237,0.84485681300941
39,0.039,0.746639773795595
503457,503.457,0.309603416958565
103292,103.292,0.753681260773097
129145,129.145,0.559032832046957
377043,377.043,0.70685135438545
169613,169.613,0.633046510488862
108306,108.306,0.86027021753053
591298,591.298,0.28206839946337
3,0.003,1
71197,71.197,0.34322083885062
2955,2.955,0.0552004474659349
66950,66.95,0.284537047227104
425008,425.008,0.393217989874127
963691,963.691,0.00464555008329887
47948,47.948,0.00470051050762738
243878,243.878,0.00471464186466874
20,0.02,1
19,0.019,1
1000968,1000.968,7.36656352798797e-05
173145,173.145,0.651052147289323
115963,115.963,0.0883672934927337
814093,814.093,0.0819275572168457
125756,125.756,0.0741082581143341
19,0.019,0.021055856945642
635315,635.315,0.830299997150714
8871,8.871,0.0639451222362473
17917,17.917,0.0680983694158393
3,0.003,0.0230127499046229
63844,63.844,0.5645479538948
187610,187.61,0.0993614934916672
13,0.013,0.141244458921847
170767,170.767,0.114152197633105
23,0.023,0.602549922852717
1,0.001,0.662024067076283
48,0.048,0.590370015242783
188924,188.924,0.33819177006628
83920,83.92,0.069486178185212
5,0.005,1
529070,529.07,0.00226967468473521
